Nome: CAMPOS DO JORDAO;;;;;;;;;;
Codigo Estacao: A706;;;;;;;;;;
Latitude: -22.75027777;;;;;;;;;;
Longitude: -45.60388888;;;;;;;;;;
Altitude: 1662.95;;;;;;;;;;
Situacao: Operante;;;;;;;;;;
Data Inicial: 2024-01-01;;;;;;;;;;
Data Final: 2025-12-31;;;;;;;;;;
Periodicidade da Medicao: Diaria;;;;;;;;;;
;;;;;;;;;;
Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s)
01/01/2024;.6;835.1;14.2;22.4;16.5;13.6;87;65;7.5;1.6
02/01/2024;0;834.1;14.8;26.5;18.1;12.6;82.8;47;5.9;1
03/01/2024;.4;833.3;16.5;24.9;18.5;16.1;88.9;62;6.2;1.1
04/01/2024;38.4;833.1;15.4;22.9;17.2;14.4;90.1;66;7.9;1.6
05/01/2024;7;833.6;14.5;24.9;17.8;13;82.2;53;8.4;1.7
06/01/2024;.2;834.3;14.2;24.6;18.2;11.9;79.2;53;5.9;1.5
07/01/2024;0;835.3;14.5;26.8;18.9;12.8;77.8;44;5.7;1.3
08/01/2024;.2;835.7;15.8;26.9;19.3;15;81.7;50;10.3;1.3
09/01/2024;1;836.6;15.9;25.5;18.6;14.8;85.5;58;9;1.4
10/01/2024;14.2;836.3;16;26.1;19.2;14.7;83.1;52;8.1;1.1
11/01/2024;26.4;835.6;16.7;25.6;19.2;16.3;86.6;57;7.9;1.3
12/01/2024;1.2;834.3;16.9;24.9;18.9;16.9;88.4;63;10;1
13/01/2024;9.2;835.9;16.5;22;18;16.4;90.6;72;6.6;1.1
14/01/2024;17.6;836.9;16.9;23.2;18.7;16;89.6;69;5.6;.8
15/01/2024;.6;837.2;16.9;24.8;19;16.5;88;63;7;1.1
16/01/2024;.2;837.4;16.8;26.9;20.3;16;81.5;55;5.2;1
17/01/2024;0;838;16.9;27.8;20;15.9;83.5;50;6.9;1.2
18/01/2024;5.2;836.8;17.2;27.8;19.9;15.9;85.8;52;9.4;1.1
19/01/2024;7;835.6;16.9;26.1;19.7;15.4;85.1;56;7.2;1.5
20/01/2024;0;833.5;16.7;22.9;19.3;17;85.4;68;5;.7
21/01/2024;21.6;833.7;15.9;23.3;17.5;15.5;90.9;64;10;1.7
22/01/2024;7.8;835.7;15.1;22.7;16.7;14.9;90.5;66;6.9;1.8
23/01/2024;2.6;834.2;13.4;16.1;14.2;13.9;94.6;90;11.4;2.2
24/01/2024;41.4;831.9;13.3;21.2;15.4;11.6;87.9;65;10;1.9
25/01/2024;2.8;832.1;13.5;23.2;15;12.4;91.4;62;8.8;1.7
26/01/2024;20.2;833.5;13;19.9;14.6;11.1;90.2;72;8.5;1.8
27/01/2024;1;834.3;13.3;24.6;17.4;11.9;79.2;45;8.4;1.3
28/01/2024;.2;835.7;14.1;25.6;16.3;12.9;87.6;53;7.1;1.1
29/01/2024;19.8;835.9;13.6;26.1;17.1;11.2;81.9;48;6.4;1.2
30/01/2024;5.2;835.8;13.8;25;18.4;13.5;76.6;49;5.3;1.1
31/01/2024;0;836.5;13.1;26;16.5;12.5;82.3;43;9.1;1.3
01/02/2024;4.2;837.4;13.1;24.6;16.3;10.8;83.3;55;5.5;1.3
02/02/2024;0;838.9;13.1;20.3;15.5;13;86.4;68;9;1
03/02/2024;6.6;839.1;14.6;24.4;17.3;13.7;84.7;59;12;1.4
04/02/2024;5.4;838.7;14.6;23.3;16.3;14.1;90;61;8;1.3
05/02/2024;13.8;837.7;14.1;23.5;17.3;12.3;82.7;58;4.6;1.2
06/02/2024;1.2;838.3;15.3;24.3;17.6;14;87.1;60;8.5;1.6
07/02/2024;15;837;14.6;24.2;18.2;13.1;81.3;54;7.7;1.4
08/02/2024;0;836.2;15.6;25.9;18.5;14.7;84.5;52;7.5;1.5
09/02/2024;29.4;837.2;15;25.9;17.7;12.6;86.2;47;7.6;1.6
10/02/2024;18.8;838.4;13.6;24.3;18.3;12.2;76.4;48;6.5;1.7
11/02/2024;0;839;14;26.3;18.3;12.5;77.5;44;8.1;1.1
12/02/2024;10.6;839.8;16.2;25.1;19;15.6;84.7;57;6.2;1.3
13/02/2024;0;839.5;16.1;26.2;19.3;16.8;82.7;55;5.6;1.3
14/02/2024;7.4;838.1;15.5;23.1;17.1;14.9;90.3;69;6.3;1.1
15/02/2024;45.4;836.5;16.1;17.9;16.7;16;96.5;95;8.5;2
16/02/2024;31.6;836;15.2;23.1;17.2;13.5;88.1;68;5.6;1.3
17/02/2024;.2;834.8;15.5;23.9;17.5;13.5;88.8;62;6.1;1.1
18/02/2024;.4;833.5;14.9;21.9;16.2;12.6;92.3;74;6.4;.9
19/02/2024;12.2;831.9;14.8;22.8;16.9;12.8;88;62;7.1;1.1
20/02/2024;16.8;830.6;16;21.8;17.2;14.8;92.7;75;5.7;1
21/02/2024;15;831.2;16;25.1;18.2;15.8;88.1;57;4.8;.9
22/02/2024;67.4;832.9;16.2;26.5;18.8;14.7;86.2;52;10.5;1.2
23/02/2024;8.6;836.6;17;25.4;18.6;16.2;91.3;57;7.5;1.3
24/02/2024;15.8;839.8;17.2;23.9;18.7;16.9;91.3;66;5.9;1
25/02/2024;4.6;840.6;16.7;25.5;19.1;15.2;87;62;10.8;1.4
26/02/2024;.2;838.9;16.5;24.7;19.1;15.4;85.4;64;9.1;1.6
27/02/2024;6.6;836.4;17.2;26.2;19.9;16.3;85.4;60;5.9;1.1
28/02/2024;0;836.1;17.7;26.1;19.7;16.5;88.8;62;4.7;.9
29/02/2024;12.6;836.4;18;25.5;19.7;15.9;90.1;66;8.2;1.3
01/03/2024;9;835.6;16.4;24.6;18.5;15.5;88.1;63;10.7;1.6
02/03/2024;18.6;835.5;14.9;23.1;17.3;13.6;86.6;67;7.1;1.7
03/03/2024;.2;835.6;14.5;26.3;17.7;12.3;82.7;48;6.3;1.4
04/03/2024;8;836;13.4;25.9;18.3;11.3;74.8;48;7.4;1.3
05/03/2024;1.6;836.4;16.4;26.2;19.4;16.2;84;53;6.5;.9
06/03/2024;12.2;836.8;16.4;23.8;18.1;15.9;90.5;62;6.5;1.1
07/03/2024;12;838.6;16.8;23.5;18.6;16.2;90;71;6.1;1.2
08/03/2024;26;838.2;16.9;24.2;18.3;15.2;91.4;65;7.6;1.2
09/03/2024;14;836.4;17.5;25.1;18.9;17;91.8;65;5;.9
10/03/2024;12.4;835.8;17.4;22.8;18.8;17.4;91.8;75;7.7;1.5
11/03/2024;2;837.6;15.7;23.7;18.2;15.5;85.8;67;6.5;1.4
